rank,performance
1,3382
2,3130
3,3010
4,2929
5,2868
6,2817
7,2775
8,2738
9,2705
10,2676
11,2649
12,2624
13,2601
14,2580
15,2560
16,2541
17,2523
18,2507
19,2490
20,2475
21,2460
22,2446
23,2433
24,2420
25,2407
26,2395
27,2383
28,2372
29,2361
30,2350
31,2340
32,2329
33,2320
34,2310
35,2301
36,2291
37,2283
38,2274
39,2265
40,2257
41,2249
42,2241
43,2229
45,2217
46,2210
47,2203
48,2196
49,2188
50,2182
51,2175
52,2168
53,2161
54,2155
55,2148
56,2142
57,2136
58,2130
59,2124
60,2118
61,2112
62,2106
63,2100
64,2095
65,2089
66,2083
67,2078
68,2073
69,2067
70,2062
71,2057
72,2052
73,2046
74,2041
75,2036
76,2031
77,2027
78,2022
79,2017
80,2012
81,2007
82,2003
83,1998
84,1994
85,1989
86,1984
87,1980
88,1976
89,1971
90,1967
91,1963
92,1958
93,1954
94,1950
95,1946
96,1941
97,1937
98,1933
99,1929
100,1925
101,1921
102,1917
103,1913
104,1909
105,1906
106,1902
107,1898
108,1894
109,1890
110,1887
111,1883
112,1879
113,1875
114,1872
115,1868
116,1865
117,1861
118,1857
119,1854
120,1850
121,1847
122,1843
123,1840
124,1837
125,1833
126,1830
127,1826
128,1823
129,1820
130,1816
131,1813
132,1810
133,1806
134,1803
135,1800
136,1797
137,1793
138,1790
139,1787
140,1784
141,1781
142,1778
143,1775
144,1771
145,1768
146,1765
147,1762
148,1759
149,1756
150,1753
151,1750
152,1747
153,1744
154,1741
155,1738
156,1735
157,1732
158,1729
159,1727
160,1724
161,1721
162,1718
163,1715
164,1712
165,1709
166,1707
167,1704
168,1701
169,1698
170,1695
171,1693
172,1690
173,1687
174,1684
175,1682
176,1679
177,1676
178,1674
179,1671
180,1668
181,1665
182,1663
183,1660
184,1658
185,1655
186,1652
187,1650
188,1647
189,1644
190,1642
191,1639
192,1637
193,1634
194,1632
195,1629
196,1626
197,1624
198,1621
199,1619
200,1616
201,1614
202,1611
203,1609
204,1606
205,1604
206,1601
207,1599
208,1596
209,1594
210,1592
211,1589
212,1587
213,1584
214,1582
215,1579
216,1577
217,1575
218,1572
219,1570
220,1568
221,1565
222,1563
223,1560
224,1558
225,1556
226,1553
227,1551
228,1549
229,1546
230,1544
231,1542
232,1539
233,1537
234,1535
235,1533
236,1530
237,1528
238,1526
239,1523
240,1521
241,1519
242,1517
243,1514
244,1512
245,1510
246,1508
247,1505
248,1503
249,1501
250,1499
251,1496
252,1494
253,1492
254,1490
255,1488
256,1485
257,1483
258,1481
259,1479
260,1477
261,1475
262,1472
263,1470
264,1468
265,1466
266,1464
267,1462
268,1459
269,1457
270,1455
271,1453
272,1451
273,1449
274,1447
275,1444
276,1442
277,1440
278,1437
280,1434
281,1432
282,1430
283,1428
284,1425
285,1423
286,1421
287,1419
288,1417
289,1415
290,1413
291,1411
292,1409
293,1407
294,1405
295,1403
296,1401
297,1399
298,1396
299,1394
300,1392
301,1390
302,1388
303,1386
304,1384
305,1382
306,1380
307,1378
308,1376
309,1374
310,1372
311,1370
312,1368
313,1366
314,1364
315,1362
316,1360
317,1358
318,1356
319,1354
320,1352
321,1350
322,1348
323,1346
324,1344
325,1342
326,1340
327,1338
328,1336
329,1334
330,1332
331,1330
332,1328
333,1326
334,1324
335,1322
336,1319
338,1316
339,1314
340,1312
341,1310
342,1302
350,1292
352,1289
353,1287
354,1285
355,1283
356,1281
357,1279
358,1277
359,1275
360,1273
361,1272
362,1269
364,1266
365,1264
366,1262
367,1260
368,1258
369,1256
370,1254
371,1252
372,1250
373,1248
374,1246
375,1245
376,1243
377,1241
378,1239
379,1237
380,1235
381,1233
382,1231
383,1229
384,1227
385,1225
386,1223
387,1222
388,1220
389,1218
390,1216
391,1214
392,1212
393,1210
394,1208
395,1206
396,1204
397,1202
398,1200
399,1199
400,1197
401,1195
402,1192
404,1187
407,1183
408,1181
409,1179
410,1177
412,1172
415,1167
417,1163
419,1159
421,1156
423,1153
424,1151
425,1149
426,1147
427,1145
428,1139
433,1134
434,1132
435,1130
436,1128
437,1126
438,1124
439,1122
440,1120
441,1118
442,1116
443,1114
444,1112
445,1110
446,1108
448,1105
449,1103
450,1100
452,1097
453,1095
454,1092
456,1089
457,1087
458,1085
459,1083
460,1081
461,1079
462,1077
463,1075
464,1074
465,1072
466,1070
467,1068
468,1066
469,1064
470,1062
471,1060
472,1058
473,1056
474,1054
475,1051
477,1048
478,1046
479,1044
480,1042
481,1040
482,1038
483,1036
484,1034
485,1032
486,1030
487,1028
488,1026
489,1024
490,1022
491,1020
492,1018
493,1016
494,1014
495,1012
496,1010
497,1008
498,1006
499,985
518,964
519,962
520,960
521,958
522,956
523,954
524,952
525,949
526,947
527,945
528,942
530,939
531,937
532,933
534,929
536,926
537,923
538,921
539,919
540,917
541,915
542,912
543,910
544,908
545,906
546,903
547,901
548,899
549,897
550,894
551,886
557,878
558,874
561,869
562,865
564,861
566,857
567,855
568,717
664,277
